sample,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,pressure_pa,temperature_c,altitude_m
228,0.0557,-0.0356,1.2510,-8.4275,-1.9160,-0.8092,-31600.00,27.35,0.00
229,0.0608,-0.0400,1.2451,-6.7557,-0.4885,-1.2443,-31602.00,27.35,0.00
230,0.0559,-0.0271,1.2495,-6.8855,-0.6031,-1.2061,-31603.00,27.35,0.00
231,0.0605,-0.0232,1.2432,-7.7710,-1.1756,-0.8779,-31599.00,27.36,0.00
232,0.0640,-0.0417,1.2517,-7.3588,-0.9160,-0.9084,-31602.00,27.36,0.00
233,0.0554,-0.0271,1.2454,-7.1145,-0.8702,-0.9618,-31599.00,27.36,0.00
234,0.0571,-0.0276,1.2517,-7.7710,-1.3969,-0.9008,-31602.00,27.36,0.00
235,0.0540,-0.0283,1.2466,-7.8015,-1.2366,-0.8397,-31602.00,27.36,0.00
236,0.0593,-0.0273,1.2549,-7.4504,-1.0000,-0.9924,-31602.00,27.36,0.00
237,0.0530,-0.0215,1.2595,-8.2977,-1.4046,-0.7405,-31600.00,27.36,0.00
238,0.0645,-0.0232,1.2561,-7.3664,-1.1298,-0.7557,-31602.00,27.36,0.00
239,0.0486,-0.0305,1.2505,-7.9466,-1.2748,-0.6183,-31602.00,27.36,0.00
240,0.0542,-0.0298,1.2554,-7.8931,-1.1679,-0.5573,-31604.00,27.36,0.00
241,0.0557,-0.0303,1.2480,-7.9771,-1.1679,-0.6718,-31604.00,27.36,0.00
242,0.0566,-0.0334,1.2393,-7.7557,-1.0687,-0.6260,-31598.00,27.36,0.00
243,0.0557,-0.0303,1.2444,-8.1679,-1.3359,-0.8092,-31602.00,27.36,0.00
244,0.0596,-0.0293,1.2488,-7.5878,-1.1985,-0.7634,-31605.00,27.36,0.00
245,0.0583,-0.0339,1.2561,-7.8015,-1.4046,-0.9542,-31603.00,27.36,0.00
246,0.0620,-0.0276,1.2544,-7.7481,-1.1832,-0.7176,-31602.00,27.36,0.00
247,0.0586,-0.0291,1.2400,-7.6947,-1.2214,-0.7099,-31600.00,27.37,0.00
248,0.0593,-0.0276,1.2434,-7.7634,-1.2443,-0.6412,-31601.00,27.37,0.00
249,0.0581,-0.0291,1.2437,-7.6336,-1.3664,-0.5420,-31605.00,27.37,0.00
250,0.0579,-0.0256,1.2466,-7.7099,-1.2595,-0.7481,-31602.00,27.37,0.00
251,0.0667,-0.0269,1.2529,-7.6489,-1.0382,-0.7405,-31601.00,27.37,0.00
252,0.0544,-0.0288,1.2534,-7.9389,-1.1145,-0.6565,-31600.00,27.36,0.00
253,0.0588,-0.0317,1.2532,-7.7252,-1.2214,-0.7481,-31603.00,27.36,0.00
254,0.0613,-0.0322,1.2554,-7.8626,-1.1298,-0.7557,-31603.00,27.36,0.00
255,0.0571,-0.0364,1.2551,-7.8855,-1.2290,-0.7023,-31604.00,27.36,0.00
256,0.0613,-0.0300,1.2485,-7.8168,-1.1832,-0.9389,-31601.00,27.36,0.00
